pair,expected_hold_bars,actual_hold_bars,ratio,n_trades
ACE-kSHIB,254.67168115060494,53.0,0.2081110854593112,1
MERL-AAVE,298.2246105006129,21.0,0.07041672370616388,1
WLD-ICP,402.4593737648511,9.0,0.022362505601021283,1
