window_idx,pnl,pnl_pct,trade_count,stop_loss_rate,win_rate,btc_return,btc_volatility,cross_dispersion,avg_correlation,is_losing
0,-0.04836369468802716,-4.836369468802716,3,66.66666666666666,33.33333333333333,6.100571155548096,57.84925803765909,27.912086807191372,0.7711914243231337,True
9,-0.03554879182836693,-3.5548791828366926,3,33.33333333333333,0.0,-4.266822338104248,33.582276529849395,26.153430808335543,0.7143874728236634,True
2,-0.0325722771804076,-3.25722771804076,1,100.0,0.0,11.292421817779541,34.561857285921484,40.13860132545233,0.6511182811498839,True
14,-0.03160195785536096,-3.1601957855360965,1,100.0,0.0,-7.503080368041992,42.57725237758103,26.342463679611683,0.7289219102277171,True
5,-0.004481709323150094,-0.4481709323150094,2,50.0,50.0,-2.5824666023254395,34.8570157008187,30.07945604622364,0.6872474358097421,False
1,0.0,0.0,0,0.0,0.0,12.181520462036133,34.784603880754325,35.38556396961212,0.5796671346816102,False
10,0.0,0.0,0,0.0,0.0,-3.6161303520202637,33.45399718951686,24.181678891181946,0.7154666973915103,False
4,0.0,0.0,0,0.0,0.0,-2.4644196033477783,32.395473624643664,30.43475328013301,0.6768070599902706,False
3,0.0,0.0,0,0.0,0.0,3.1723499298095703,36.43549923784396,35.309193190187216,0.7073017966456614,False
18,0.0,0.0,0,0.0,0.0,-3.8828253746032715,43.95195904181325,29.650155920535326,0.6150456459582038,False
17,0.0015537041788384505,0.15537041788384504,3,0.0,66.66666666666666,-1.8163859844207764,46.25765738775553,33.7288249284029,0.6050482306188327,False
6,0.01855112927003719,1.855112927003719,1,0.0,100.0,13.87472152709961,27.655603645814097,31.776628457009792,0.5766311891309718,False
13,0.022412155042564254,2.2412155042564255,1,0.0,100.0,-3.284895420074463,44.535250210050386,27.708893176168203,0.7613127128155526,False
15,0.03273580666383002,3.2735806663830016,1,0.0,100.0,-19.165319204330444,47.4220910572647,42.32161212712526,0.6621819115185645,False
8,0.03599497610776548,3.5994976107765484,4,25.0,50.0,1.1542558670043945,29.88890324674453,28.44542497768998,0.7069228396111489,False
16,0.040706429157209276,4.070642915720928,3,33.33333333333333,33.33333333333333,-18.515336513519287,55.331460547990964,36.87824588268995,0.6753476376982377,False
7,0.05813989796815895,5.813989796815895,2,0.0,100.0,9.049808979034424,33.97011091705087,36.25419223681092,0.6488622445771789,False
11,0.059924544651212164,5.992454465121217,3,33.33333333333333,66.66666666666666,3.266119956970215,25.949409533241187,28.46860559657216,0.6037926696553746,False
12,0.10340881570332972,10.340881570332972,2,0.0,100.0,8.206653594970703,27.479027240625964,27.573904953897,0.6650847966937483,False
