,losing_mean,winning_mean,delta,losing_count,winning_count
pnl,-0.03702168038804066,0.02459638329465303,-0.061618063682693694,4.0,15.0
trade_count,2.0,1.4666666666666666,0.5333333333333334,4.0,15.0
stop_loss_rate,0.75,0.09444444444444443,0.6555555555555556,4.0,15.0
win_rate,0.08333333333333333,0.5111111111111111,-0.42777777777777776,4.0,15.0
btc_return,0.014057725667953491,-0.0029482324918111164,0.017005958159764606,4.0,15.0
btc_volatility,0.4214266105775275,0.36957870830795275,0.05184790226957475,4.0,15.0
cross_dispersion,0.0030136643908917904,0.0031879807356745005,-0.00017431634478271008,4.0,15.0
avg_correlation,0.7164047721310995,0.6591146668531073,0.057290105277992276,4.0,15.0
