pair,expected_hold_bars,actual_hold_bars,ratio,n_trades
XLM-NEAR,185.92644729952198,18.0,0.09681247752237494,1
WIF-NEAR,261.38910158737207,10.0,0.03825714208921367,1
EIGEN-INJ,371.91514325340944,1.0,0.00268878538059053,1
