pair,expected_hold_bars,actual_hold_bars,ratio,n_trades
LDO-LINK,279.19495999749023,11.0,0.03939899201654243,1
ACE-OP,307.2557986068961,15.0,0.04881925766091412,1
SEI-PENDLE,166.88160473129662,94.0,0.5632735863929013,1
