pair,expected_hold_bars,actual_hold_bars,ratio,n_trades
ZRO-TIA,376.54481088113397,33.0,0.08763897163468626,1
kPEPE-PENDLE,267.87535425132256,4.0,0.01493231809689805,1
TON-AR,322.18923091313064,26.0,0.0806979175756814,1
TON-OP,319.8615617087187,26.0,0.08128516556070857,1
