pair,expected_hold_bars,actual_hold_bars,ratio,n_trades
POL-ATOM,290.9784618669926,70.0,0.24056763360030847,1
ZK-RENDER,240.51310676144263,58.0,0.2411510989192301,1
ETHFI-AVAX,440.9835962966466,21.0,0.047620818951899166,1
